0 qid:00242 1:0.51250000 2:0.00000000 3:0.00000000 4:0.82373264 5:0.00000000 6:0.12337363 7:0.92713260 8:0.12117610 9:0.00000000 10:0.00000000 11:0.55815080 12:0.36198856 13:0.47717557 14:0.00000000 15:1.00000000 # ROUND-04-002-14_4_4
0 qid:00242 1:0.51250000 2:0.00000000 3:0.00000000 4:0.82373264 5:0.00000000 6:0.00000000 7:0.92713260 8:0.00000000 9:0.00000000 10:0.00000000 11:0.74016983 12:0.55815080 13:0.47717557 14:0.25829447 15:0.00000000 # ROUND-04-002-14_4_3
0 qid:00242 1:0.00000000 2:0.41428571 3:0.00000000 4:0.75275831 5:0.00000000 6:0.69520606 7:0.75104365 8:0.70395307 9:0.00000000 10:0.00000000 11:0.62632423 12:0.64865643 13:0.54330949 14:0.52721242 15:0.25829447 # ROUND-04-002-14_3_2
0 qid:00242 1:0.00000000 2:1.00000000 3:0.00000000 4:0.75275831 5:0.00000000 6:1.00000000 7:0.75104365 8:1.00000000 9:0.00000000 10:0.00000000 11:0.62632423 12:0.62632423 13:0.85506292 14:1.00000000 15:0.52721242 # ROUND-04-002-14_3_1
0 qid:00242 1:0.00000000 2:1.00000000 3:0.00000000 4:0.00000000 5:0.00000000 6:1.00000000 7:0.00000000 8:1.00000000 9:0.00000000 10:0.00000000 11:0.13824226 12:0.13824226 13:0.08353028 14:1.00000000 15:0.52721242 # ROUND-04-002-14_6_1
0 qid:00242 1:0.51250000 2:1.00000000 3:0.00000000 4:0.82373264 5:0.00000000 6:1.00000000 7:0.92713260 8:1.00000000 9:0.00000000 10:0.00000000 11:0.75632124 12:0.75632124 13:0.97569646 14:1.00000000 15:0.52721242 # ROUND-04-002-14_4_1
0 qid:00242 1:0.45555556 2:0.00000000 3:0.00000000 4:0.51572440 5:0.00000000 6:0.00000000 7:0.60520934 8:0.00000000 9:0.00000000 10:0.00000000 11:0.32819776 12:0.12729727 13:0.83257205 14:0.25829447 15:0.00000000 # ROUND-04-002-14_5_3
0 qid:00242 1:0.00000000 2:0.00000000 3:0.00000000 4:0.00000000 5:0.00000000 6:0.00000000 7:0.00000000 8:0.00000000 9:0.00000000 10:0.00000000 11:0.06336663 12:0.00000000 13:0.12164712 14:0.25829447 15:0.00000000 # ROUND-04-002-14_6_3
0 qid:00242 1:0.45555556 2:1.00000000 3:0.00000000 4:0.51572440 5:0.00000000 6:1.00000000 7:0.60520934 8:1.00000000 9:0.00000000 10:0.00000000 11:0.36892926 12:0.36892926 13:0.43263233 14:1.00000000 15:0.52721242 # ROUND-04-002-14_5_1
0 qid:00242 1:0.45555556 2:0.00000000 3:0.00000000 4:0.51572440 5:0.00000000 6:0.12337363 7:0.60520934 8:0.12117610 9:0.00000000 10:0.00000000 11:0.12729727 12:0.63159470 13:0.83257205 14:0.00000000 15:1.00000000 # ROUND-04-002-14_5_4
0 qid:00242 1:1.00000000 2:0.00000000 3:0.00000000 4:1.00000000 5:0.00000000 6:0.00000000 7:1.00000000 8:0.00000000 9:0.00000000 10:0.00000000 11:0.75860666 12:0.64007140 13:0.72083555 14:0.25829447 15:0.00000000 # ROUND-04-002-14_1_3
0 qid:00242 1:0.78095238 2:0.00000000 3:0.00000000 4:0.89713839 5:0.00000000 6:0.00000000 7:0.92021975 8:0.00000000 9:0.00000000 10:0.00000000 11:0.70150412 12:0.46478203 13:0.51469092 14:0.25829447 15:0.00000000 # ROUND-04-002-14_2_3
0 qid:00242 1:0.00000000 2:0.00000000 3:0.00000000 4:0.00000000 5:0.00000000 6:0.12337363 7:0.00000000 8:0.12117610 9:0.00000000 10:0.00000000 11:0.00000000 12:0.09228232 13:0.12164712 14:0.00000000 15:1.00000000 # ROUND-04-002-14_6_4
0 qid:00242 1:1.00000000 2:0.41428571 3:0.00000000 4:1.00000000 5:0.00000000 6:0.69520606 7:1.00000000 8:0.70395307 9:0.00000000 10:0.00000000 11:0.80211053 12:0.75860666 13:0.84374608 14:0.52721242 15:0.25829447 # ROUND-04-002-14_1_2
0 qid:00242 1:1.00000000 2:1.00000000 3:0.00000000 4:1.00000000 5:0.00000000 6:1.00000000 7:1.00000000 8:1.00000000 9:0.00000000 10:0.00000000 11:0.80211053 12:0.80211053 13:1.00000000 14:1.00000000 15:0.52721242 # ROUND-04-002-14_1_1
